"MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature","SaleType","SaleCondition","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold"
"RM","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",50,60,10320,6,7,1906,1995,0,0,0,756,756,756,713,0,1469,0,0,1,0,3,1,7,0,1906,1,216,57,0,239,0,0,0,0,6,2008
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","Gd","Gd","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Gd","GdPrv","Shed","WD","Normal",20,91,10437,8,6,1995,1995,660,1696,0,413,2109,2113,0,0,2113,1,0,2,1,2,1,7,1,1995,3,839,236,46,0,0,0,0,0,8,2008
"RM","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story","Gable","CompShg","HdBoard","ImStucc","BrkFace","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","GdPrv","Shed","WD","Family",160,21,1680,6,5,1971,1971,381,0,0,525,525,525,567,0,1092,0,0,1,1,3,1,6,0,1971,1,264,0,0,0,0,0,0,0,3,2010
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","Gd","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Gar2","WD","Normal",20,72,10007,5,7,1959,2006,54,806,0,247,1053,1053,0,0,1053,1,0,1,1,3,1,5,0,1959,1,312,0,0,0,0,0,0,0,8,2008
"RL","Pave","Grvl","Reg","HLS","AllPub","Inside","Mod","Crawfor","Norm","Norm","1Fam","2Story","Gable","CompShg","Stucco","Wd Shng","None","TA","Fa","BrkTil","Gd","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","P","Fa","MnPrv","Shed","WD","Normal",70,60,7200,7,6,1931,2000,0,0,0,776,776,851,651,0,1502,0,0,1,1,3,1,6,1,1931,1,270,0,0,112,0,0,0,0,2,2008
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Fa","MnPrv","Shed","WD","Abnorml",50,78,17503,6,5,1948,1950,0,0,0,912,912,912,546,0,1458,0,1,1,0,3,1,6,1,1948,1,330,192,0,0,0,0,0,0,1,2010
"RL","Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story","Hip","CompShg","MetalSd","MetalSd","None","TA","Gd","PConc","TA","TA","No","BLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Detchd","Fin","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",20,75,9937,5,7,1964,1999,0,637,0,849,1486,1486,0,0,1486,1,0,1,0,3,1,7,0,1968,2,480,0,0,0,0,0,0,0,3,2009
"RL","Pave","Grvl","Reg","Lvl","AllPub","CulDSac","Gtl","NWAmes","Norm","Norm","1Fam","2Story","Gable","CompShg","Plywood","Plywood","BrkFace","TA","TA","CBlock","Gd","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",60,39,12384,7,7,1976,1976,233,0,0,793,793,1142,793,0,1935,0,0,2,1,3,1,7,1,1976,2,550,0,113,252,0,0,0,0,11,2007
"RL","Pave","Pave","IR2","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","Gd","No","GLQ","Rec","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Ex","GdWo","Shed","WD","Normal",60,52,46589,8,7,1994,2005,528,1361,180,88,1629,1686,762,0,2448,1,0,2,1,4,1,8,1,1994,3,711,517,76,0,0,0,0,0,7,2009
"RL","Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","Fa","Fa","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Maj2","TA","Attchd","RFn","TA","TA","Y","Ex","GdWo","Shed","WD","Normal",20,120,13560,6,3,1968,1968,216,0,0,1392,1392,1392,0,0,1392,1,0,1,0,2,1,5,2,1968,2,576,0,0,240,0,0,0,0,7,2009
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","SFoyer","Gable","CompShg","Plywood","Plywood","None","TA","TA","CBlock","Gd","TA","Av","BLQ","Rec","GasA","TA","Y","SBrkr","TA","Typ","Fa","Detchd","RFn","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",85,90,10012,4,5,1972,1972,0,920,180,38,1138,1181,0,0,1181,1,0,2,0,3,1,6,0,1974,2,588,0,0,180,0,0,0,0,4,2008
"RL","Pave","Grvl","IR2","Lvl","AllPub","CulDSac","Gtl","Somerst","RRAn","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Gd","MnPrv","Shed","New","Partial",20,49,20896,8,5,2005,2006,0,1721,0,356,2077,2097,0,0,2097,1,0,1,1,1,1,8,1,2005,3,1134,192,267,0,0,0,0,0,1,2006
"RL","Pave","Pave","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Ex","GdWo","Shed","WD","Normal",60,106,11194,8,5,2000,2000,40,0,0,1406,1406,1454,482,0,1936,0,0,2,1,3,1,7,1,2000,2,504,188,124,0,0,0,0,0,11,2006
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story","Flat","Tar&Grv","Plywood","Plywood","BrkCmn","TA","Gd","CBlock","Gd","TA","No","LwQ","Rec","GasA","TA","Y","SBrkr","TA","Sev","Po","CarPort","Unf","TA","TA","Y","Fa","GdWo","Shed","WD","Abnorml",60,82,18450,6,5,1965,1979,113,187,723,111,1021,1465,915,0,2380,0,0,2,1,3,1,7,1,1965,2,596,0,265,0,0,0,0,0,8,2007
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Fa","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",20,65,8125,6,5,1994,1998,258,1138,0,270,1408,1679,0,0,1679,1,0,2,0,3,1,7,1,1994,2,575,224,42,0,0,0,0,0,10,2008
"RL","Pave","Grvl","Reg","Bnk","AllPub","Corner","Mod","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","CemntBd","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr","TA","Min2","TA","Detchd","Unf","TA","TA","Y","Gd","GdPrv","Shed","WD","Normal",20,90,14175,5,6,1956,1987,0,988,0,200,1188,1437,0,0,1437,1,0,1,1,3,1,6,1,1999,2,576,304,0,0,0,0,0,0,11,2006
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","Fa","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Fa","Typ","Gd","Detchd","Unf","TA","Fa","Y","Ex","GdWo","Shed","WD","Normal",30,80,11600,4,5,1922,1950,0,0,0,700,700,1180,0,0,1180,0,0,1,0,2,1,5,1,1922,1,252,0,0,67,0,0,0,0,7,2006
"RL","Pave","Pave","Reg","Lvl","AllPub","FR2","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",60,64,8633,6,5,2005,2005,0,193,0,545,738,738,738,0,1476,1,0,2,1,3,1,7,0,2005,2,540,100,35,0,0,0,0,0,2,2009
"RH","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","2Story","Gambrel","CompShg","Wd Sdng","Wd Sdng","None","TA","Gd","BrkTil","TA","TA","No","BLQ","Unf","GasA","TA","N","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",70,54,6629,6,6,1925,1950,0,551,0,121,672,697,672,0,1369,1,0,2,0,3,1,6,0,1930,1,300,147,0,0,0,0,0,0,7,2009
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Veenker","Norm","Norm","1Fam","1Story","Gable","CompShg","Plywood","Plywood","None","Gd","TA","CBlock","Gd","TA","No","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",20,80,11250,6,6,1977,1977,0,767,0,441,1208,1208,0,0,1208,1,0,1,1,3,1,6,1,1977,2,546,198,42,0,0,0,0,0,6,2006
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story","Hip","CompShg","CemntBd","CmentBd","BrkFace","TA","TA","PConc","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Fa","MnPrv","Shed","WD","Normal",20,110,14442,6,7,1957,2004,106,1186,0,291,1477,1839,0,0,1839,1,0,2,0,3,1,7,2,1957,2,416,0,87,0,0,200,0,0,6,2007
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",20,80,9200,6,6,1965,1965,0,892,0,244,1136,1136,0,0,1136,1,0,1,0,3,1,5,1,1965,1,384,426,0,0,0,0,0,0,7,2008
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Twnhs","2Story","Gable","CompShg","Plywood","Brk Cmn","None","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","Unf","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",160,24,2289,6,6,1978,1978,0,311,0,544,855,855,586,0,1441,0,0,2,1,3,1,7,1,1978,2,440,28,0,0,0,0,0,0,4,2009
"RM","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","Gable","CompShg","AsbShng","Stucco","None","TA","TA","BrkTil","TA","Fa","No","Unf","Unf","GasW","Fa","N","SBrkr","TA","Min2","Gd","2Types","Unf","Fa","Fa","N","Fa","MnPrv","Shed","WD","Normal",70,60,9600,4,2,1900,1950,0,0,0,1095,1095,1095,679,0,1774,1,0,2,0,4,2,8,0,1920,3,779,0,0,90,0,0,0,0,5,2006
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Detchd","Unf","Fa","Fa","N","Gd","MnPrv","Shed","WD","Normal",30,52,9022,5,8,1924,2006,0,0,0,768,768,792,0,0,792,0,0,1,0,2,1,5,0,1924,1,240,316,0,120,0,0,0,0,5,2009
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Mn","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Ex","MnPrv","Shed","New","Partial",20,80,11844,8,5,2008,2008,464,0,0,2046,2046,2046,0,0,2046,0,0,2,1,3,1,7,1,2008,3,834,322,82,0,0,0,0,0,7,2009
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",20,65,9945,5,5,1961,1961,57,827,0,161,988,988,0,0,988,1,0,1,0,3,1,5,0,1963,2,572,0,0,0,0,0,0,0,10,2007
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story","Gable","CompShg","Plywood","Plywood","None","TA","TA","CBlock","Gd","TA","No","BLQ","BLQ","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",120,50,8012,6,5,1980,1980,0,543,119,261,923,923,0,0,923,0,0,2,0,2,1,5,1,1980,1,264,80,0,0,0,0,0,0,5,2010
"RH","Pave","Pave","IR2","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","Stucco","None","TA","TA","BrkTil","TA","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Ex","GdPrv","Shed","WD","Abnorml",50,55,4500,5,5,1932,2000,0,182,0,611,793,848,672,0,1520,0,0,1,0,3,1,6,0,1968,1,281,0,0,56,0,0,0,0,7,2009
"RL","Pave","Grvl","Reg","HLS","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Unf","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",120,53,2887,6,5,1996,1997,0,1003,0,288,1291,1291,0,0,1291,1,0,1,0,2,1,6,1,1996,2,431,307,0,0,0,0,0,0,11,2008
"RL","Pave","Pave","IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","Fin","TA","TA","Y","Fa","MnPrv","Shed","WD","Normal",20,90,11248,9,5,2002,2002,215,1059,0,567,1626,1668,0,0,1668,1,0,2,0,3,1,7,1,2002,3,702,257,45,0,0,0,0,0,7,2007
"RL","Pave","Pave","IR2","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",60,58,16770,7,5,1998,1998,30,0,0,1195,1195,1195,644,0,1839,0,0,2,1,4,1,7,0,1998,2,486,0,81,0,0,0,0,0,6,2010
"RL","Pave","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","StoneBr","Norm","Norm","TwnhsE","2Story","Gable","CompShg","HdBoard","HdBoard","None","Gd","TA","CBlock","Gd","TA","Mn","GLQ","LwQ","GasA","Gd","Y","SBrkr","Gd","Min1","TA","Attchd","Fin","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",160,41,5062,7,5,1984,1984,0,828,182,180,1190,1190,900,0,2090,1,0,2,0,3,1,6,1,1984,2,577,219,0,0,0,0,0,0,9,2007
"FV","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Gd","GdPrv","Shed","New","Partial",60,84,10207,7,6,2007,2007,0,0,0,874,874,874,887,0,1761,0,0,3,0,3,1,7,0,2007,2,578,144,105,0,0,0,0,0,8,2007
"FV","Pave","Pave","IR2","Lvl","AllPub","FR2","Gtl","Somerst","Norm","Norm","TwnhsE","2Story","Gable","CompShg","MetalSd","MetalSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",160,35,5105,7,5,2004,2004,0,239,0,312,551,551,551,0,1102,0,0,2,1,2,1,4,0,2004,2,480,0,60,0,0,0,0,0,3,2007
"RL","Pave","Pave","Reg","HLS","AllPub","Inside","Gtl","StoneBr","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","GdPrv","Shed","New","Partial",20,60,8089,8,6,2007,2007,0,945,0,474,1419,1419,0,0,1419,1,0,2,0,2,1,7,1,2007,2,567,140,0,0,0,0,0,0,10,2007
"RL","Pave","Pave","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","ALQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Gd","GdPrv","Shed","WD","Normal",120,61,7577,6,5,2005,2006,256,20,0,1342,1362,1362,0,0,1362,0,0,2,0,2,1,6,1,2005,2,460,192,28,0,0,0,0,0,6,2007
"RM","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","TwnhsE","1Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",120,36,4426,6,5,2004,2004,147,697,0,151,848,848,0,0,848,1,0,1,0,1,1,3,1,2004,2,420,149,0,0,0,0,0,0,5,2008
"RL","Pave","Pave","IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","WdShngl","HdBoard","HdBoard","BrkFace","Ex","TA","PConc","Ex","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",60,104,21535,10,6,1994,1995,1170,1455,0,989,2444,2444,1872,0,4316,0,1,3,1,4,1,10,2,1994,3,832,382,50,0,0,0,0,0,1,2007
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Mod","Timber","Norm","Norm","1Fam","2Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","Gd","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",60,42,26178,7,5,1989,1990,293,965,0,245,1210,1238,1281,0,2519,1,0,2,1,4,1,9,2,1989,2,628,320,27,0,0,0,0,0,4,2006
"RL","Pave","Grvl","Reg","Lvl","AllPub","Corner","Sev","OldTown","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Fa","GdWo","Shed","WD","Abnorml",30,60,5400,5,6,1921,1968,0,0,0,1073,1073,1073,0,0,1073,0,0,1,0,2,1,4,0,1968,1,326,0,0,112,0,0,0,0,12,2006
"RM","Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","Fa","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",50,51,6120,5,6,1936,1950,0,0,0,927,927,1067,472,0,1539,0,0,1,1,3,1,5,0,1995,2,576,112,0,0,0,0,0,0,4,2009
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","Gd","Gd","No","GLQ","LwQ","GasA","Gd","Y","SBrkr","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",20,54,13811,6,6,1987,1987,72,980,40,92,1112,1137,0,0,1137,1,0,2,0,2,1,5,1,1987,2,551,125,0,0,0,0,0,0,7,2006
"RM","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",30,50,6000,5,7,1921,1950,0,616,0,0,616,616,0,0,616,0,0,1,0,2,1,4,0,1921,1,205,0,0,129,0,0,0,0,6,2006
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","Ex","Gd","Mn","LwQ","ALQ","GasA","Fa","Y","FuseA","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","GdPrv","Shed","WD","Normal",20,57,6420,5,7,1952,1952,0,210,551,219,980,1148,0,0,1148,0,1,1,0,2,1,6,0,1952,1,308,0,0,0,0,0,0,0,9,2006
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","TA","No","GLQ","BLQ","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",20,65,8450,5,8,1965,2009,0,553,117,224,894,894,0,0,894,1,0,1,0,3,1,5,1,1973,1,336,416,144,0,0,0,0,0,4,2010
"FV","Pave","Pave","IR2","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story","Gable","CompShg","MetalSd","MetalSd","None","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",120,59,4282,7,5,2004,2004,0,16,0,1375,1391,1391,0,0,1391,0,0,2,0,2,1,5,0,2004,2,530,156,158,0,0,0,0,0,7,2008
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",20,85,14331,8,5,2002,2002,630,1274,0,526,1800,1800,0,0,1800,1,0,2,0,3,1,7,1,2002,3,765,270,78,0,0,0,0,0,5,2006
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Typ","Po","Attchd","Unf","TA","TA","Y","Fa","MnPrv","Shed","COD","Normal",20,80,9600,7,5,1969,1969,168,0,0,1164,1164,1164,0,0,1164,0,0,1,1,3,1,6,0,1969,2,528,0,0,0,0,0,0,0,7,2006
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","1Fam","2Story","Hip","CompShg","VinylSd","VinylSd","BrkFace","Ex","TA","PConc","Ex","Gd","No","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Gd","MnPrv","Shed","New","Partial",60,82,12438,8,5,2006,2006,466,0,0,1234,1234,1264,1312,0,2576,0,0,2,1,4,1,10,1,2006,3,666,324,100,0,0,0,0,0,7,2006
"RM","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Feedr","Norm","2fmCon","2Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","Gd","BrkTil","Gd","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Po","Detchd","Unf","TA","TA","N","Ex","MnPrv","Shed","WD","Normal",190,76,7630,5,9,1900,1996,0,0,0,360,360,1032,780,0,1812,0,0,2,0,4,2,8,1,1999,2,672,344,0,40,0,0,0,0,5,2010
